AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
46,优,0.2,州农科所,3,68,62,46,16,9,阿坝州,_
51,良,1.1,州监测站,25,57,61,51,5,17,阿坝州,颗粒物(PM10)
64,良,0.6,马师校,20,121,82,77,13,9,阿坝州,颗粒物(PM10)
31,优,0.4,体育场,17,99,99,22,16,9,阿拉善盟,_
40,优,0.4,盟环保楼,14,92,95,_,28,8,阿拉善盟,_
27,优,0.4,环保局新楼,7,86,90,12,12,8,阿拉善盟,_
139,轻度污染,1.4,电视台,33,77,50,227,71,12,阿克苏地区,颗粒物(PM10)
144,轻度污染,1.2,艺术中心,31,64,41,237,79,13,阿克苏地区,颗粒物(PM10)
70,良,0.9,香溪洞,10,102,78,90,48,9,安康,颗粒物(PM10)
123,轻度污染,2.3,安康市监测站,85,36,41,177,93,45,安康,细颗粒物(PM2.5)
115,轻度污染,1.4,汉滨区检察院,74,45,40,169,87,34,安康,细颗粒物(PM2.5)
34,优,0.3,小东沟,21,44,49,34,19,21,阿勒泰地区,_
12,优,0.2,市站,22,29,20,10,8,9,阿勒泰地区,_
25,优,0.5,阿里监测站,2,66,48,25,9,18,阿里地区,_
64,良,0.4,阿里地委,2,73,56,78,15,3,阿里地区,颗粒物(PM10)
229,重度污染,1.4,环科院,87,39,37,228,179,8,安庆,细颗粒物(PM2.5)
243,重度污染,1.4,马山宾馆,73,35,42,_,193,14,安庆,细颗粒物(PM2.5)
243,重度污染,1.3,联富花园,83,32,42,_,193,8,安庆,细颗粒物(PM2.5)
139,轻度污染,3.0,深沟寺,102,11,50,147,106,49,鞍山,细颗粒物(PM2.5)
125,轻度污染,2.8,明达新区,109,10,36,170,95,111,鞍山,细颗粒物(PM2.5)
83,良,1.5,千山,58,35,50,82,61,17,鞍山,细颗粒物(PM2.5)
143,轻度污染,2.9,太阳城,112,7,38,185,109,34,鞍山,细颗粒物(PM2.5)
145,轻度污染,3.2,太平,95,12,41,141,111,55,鞍山,细颗粒物(PM2.5)
166,中度污染,3.3,铁西三道街,92,7,35,199,126,47,鞍山,细颗粒物(PM2.5)
238,重度污染,4.1,铁西工业园区,118,9,49,300,188,59,鞍山,细颗粒物(PM2.5)
142,轻度污染,1.1,伍家关(对照点),33,62,77,135,108,18,安顺,细颗粒物(PM2.5)
155,中度污染,1.0,凤凰山,23,69,77,133,118,33,安顺,细颗粒物(PM2.5)
149,轻度污染,0.9,金钟山,33,68,82,145,114,35,安顺,细颗粒物(PM2.5)
149,轻度污染,0.8,娄家坡,34,63,77,135,114,34,安顺,细颗粒物(PM2.5)
112,轻度污染,1.8,棉研所,42,75,93,106,84,24,安阳,细颗粒物(PM2.5)
88,良,1.0,红庙街,58,61,58,116,65,22,安阳,细颗粒物(PM2.5)
99,良,1.6,铁佛寺,47,62,67,120,74,23,安阳,细颗粒物(PM2.5)
100,良,1.5,信访局,51,68,73,108,75,20,安阳,细颗粒物(PM2.5)
25,优,1.3,市监测站,23,34,33,25,13,8,百色,_
40,优,1.3,市中心血站,16,32,32,29,28,9,百色,_
64,良,0.4,洮北区环保局,29,70,80,55,46,18,白城,细颗粒物(PM2.5)
40,优,0.3,市环保局,11,64,78,40,15,16,白城,_
66,良,1.0,喜丰,28,64,60,82,43,45,白山,颗粒物(PM10)
55,良,0.9,环保局,24,69,56,60,34,20,白山,颗粒物(PM10)
251,重度污染,2.8,游泳馆,133,17,36,270,201,236,保定,细颗粒物(PM2.5)
244,重度污染,2.8,华电二区,140,6,23,301,194,112,保定,细颗粒物(PM2.5)
245,重度污染,3.1,接待中心,116,23,34,310,195,97,保定,细颗粒物(PM2.5)
267,重度污染,2.6,地表水厂,128,17,26,328,217,44,保定,细颗粒物(PM2.5)
225,重度污染,3.2,胶片厂,139,39,36,279,175,45,保定,细颗粒物(PM2.5)
230,重度污染,2.9,监测站,146,8,22,286,180,149,保定,细颗粒物(PM2.5)
98,良,1.2,豫源饭店,30,79,59,124,73,100,白银,细颗粒物(PM2.5)
89,良,0.9,动力公司,23,75,57,127,42,65,白银,颗粒物(PM10)
90,良,0.9,庙沟村,31,96,83,88,67,16,宝鸡,细颗粒物(PM2.5)
83,良,0.7,竹园沟,31,79,67,90,61,13,宝鸡,细颗粒物(PM2.5)
87,良,1.1,三陆医院,67,63,58,119,64,20,宝鸡,细颗粒物(PM2.5)
77,良,1.1,监测站,59,76,59,100,56,15,宝鸡,细颗粒物(PM2.5)
92,良,1.1,技工学校,66,72,63,94,68,21,宝鸡,细颗粒物(PM2.5)
98,良,0.9,陈仓环保局,51,72,55,145,56,19,宝鸡,颗粒物(PM10)
84,良,1.2,文理学院,39,94,67,118,62,19,宝鸡,"颗粒物(PM10)
细颗粒物(PM2.5)"
90,良,1.2,三迪小学,64,71,60,128,67,20,宝鸡,细颗粒物(PM2.5)
33,优,0.4,市环保局,7,95,83,33,17,9,保山,_
32,优,_,市环境监测站,8,86,81,32,_,8,保山,_
119,轻度污染,0.3,秋林养殖基地,19,80,84,187,28,5,巴彦淖尔,颗粒物(PM10)
24,优,0.4,附中,25,65,73,24,14,9,巴彦淖尔,_
24,优,0.3,市环保大楼,15,75,82,18,8,7,巴彦淖尔,_
86,良,1.3,市环境监测站,47,47,42,121,59,28,包头,颗粒物(PM10)
85,良,2.0,包百大楼,61,41,36,119,54,53,包头,颗粒物(PM10)
70,良,1.2,东河城环局,74,29,57,90,41,52,包头,颗粒物(PM10)
57,良,0.7,青山宾馆,33,64,53,_,40,14,包头,细颗粒物(PM2.5)
83,良,1.6,惠龙物流,68,33,40,98,61,48,包头,细颗粒物(PM2.5)
41,优,1.1,东河鸿龙湾,38,43,59,41,26,23,包头,_
68,良,0.7,市环保局,38,47,40,85,47,6,巴中,颗粒物(PM10)
73,良,0.8,巴中中学,42,42,41,85,53,10,巴中,细颗粒物(PM2.5)
64,良,0.6,苏山坪,23,62,56,72,46,5,巴中,细颗粒物(PM2.5)
46,优,0.7,职业中学,27,54,43,41,32,6,巴中,_
152,中度污染,1.7,万寿西宫,106,2,21,254,114,14,北京,颗粒物(PM10)
32,优,0.3,定陵,13,79,79,32,9,2,北京,_
145,轻度污染,1.8,东四,102,17,38,167,111,20,北京,细颗粒物(PM2.5)
125,轻度污染,1.2,天坛,95,10,28,120,95,7,北京,细颗粒物(PM2.5)
123,轻度污染,1.5,农展馆,108,8,30,142,93,20,北京,细颗粒物(PM2.5)
175,中度污染,1.7,官园,108,12,32,187,132,23,北京,细颗粒物(PM2.5)
192,中度污染,1.8,海淀区万柳,123,10,34,198,144,21,北京,细颗粒物(PM2.5)
119,轻度污染,0.7,牛尾岭水库,27,232,205,112,90,11,北海,细颗粒物(PM2.5)
75,良,1.3,海滩公园,49,173,147,67,55,12,北海,细颗粒物(PM2.5)
108,轻度污染,1.2,新市环保局,39,184,162,102,81,13,北海,细颗粒物(PM2.5)
107,轻度污染,1.1,北海工业园,23,213,179,96,67,14,北海,臭氧1小时
61,良,0.8,顺义新城,41,45,60,71,20,11,北京,颗粒物(PM10)
39,优,0.4,怀柔镇,14,63,50,39,10,3,北京,_
68,良,0.9,昌平镇,45,37,60,85,35,16,北京,颗粒物(PM10)
127,轻度污染,1.4,奥体中心,106,17,41,144,96,14,北京,细颗粒物(PM2.5)
228,重度污染,1.7,古城,119,8,37,_,178,20,北京,细颗粒物(PM2.5)
255,重度污染,1.7,工人疗养院,68,38,48,243,205,12,蚌埠,细颗粒物(PM2.5)
257,重度污染,1.7,百货大楼,64,30,45,_,207,16,蚌埠,细颗粒物(PM2.5)
205,重度污染,1.5,二水厂,87,38,46,206,155,25,蚌埠,细颗粒物(PM2.5)
228,重度污染,1.6,蚌埠学院,74,52,58,221,178,12,蚌埠,细颗粒物(PM2.5)
238,重度污染,1.6,淮上区政府,82,11,33,233,188,38,蚌埠,细颗粒物(PM2.5)
222,重度污染,1.5,高新区,97,27,53,203,172,13,蚌埠,细颗粒物(PM2.5)
92,良,1.7,大峪,58,42,43,106,68,27,本溪,细颗粒物(PM2.5)
98,良,1.9,溪湖,76,18,37,145,72,65,本溪,颗粒物(PM10)
120,轻度污染,1.8,彩屯,69,26,42,126,91,32,本溪,细颗粒物(PM2.5)
86,良,1.8,东明,54,37,41,121,58,43,本溪,颗粒物(PM10)
100,良,1.6,威宁,83,11,40,142,75,31,本溪,细颗粒物(PM2.5)
85,良,1.4,新立屯,78,8,47,90,63,17,本溪,细颗粒物(PM2.5)
269,重度污染,1.7,市环保局,64,43,49,295,219,27,滨州,细颗粒物(PM2.5)
284,重度污染,1.8,第二水厂,66,41,46,253,234,36,滨州,细颗粒物(PM2.5)
277,重度污染,2.1,北中新校,66,40,50,254,227,30,滨州,细颗粒物(PM2.5)
100,良,1.4,八中,66,36,50,114,75,29,毕节,细颗粒物(PM2.5)
