AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
29,优,0.2,州农科所,2,75,50,29,2,9,阿坝州,_
26,优,0.4,州监测站,5,82,49,22,9,5,阿坝州,_
27,优,0.4,马师校,6,86,56,24,5,8,阿坝州,_
47,优,0.5,小东沟,31,39,53,47,25,108,阿勒泰地区,_
19,优,0.2,市站,38,19,15,_,9,51,阿勒泰地区,_
139,轻度污染,1.4,电视台,32,68,35,228,72,13,阿克苏地区,颗粒物(PM10)
137,轻度污染,1.1,艺术中心,30,60,29,224,70,16,阿克苏地区,颗粒物(PM10)
33,优,0.3,体育场,9,103,89,24,13,9,阿拉善盟,_
32,优,0.4,盟环保楼,8,102,78,_,18,8,阿拉善盟,_
30,优,0.3,环保局新楼,5,94,88,_,9,7,阿拉善盟,_
238,重度污染,1.5,环科院,85,48,33,215,188,13,安庆,细颗粒物(PM2.5)
250,重度污染,1.4,马山宾馆,72,42,41,_,200,21,安庆,细颗粒物(PM2.5)
20,优,0.5,阿里监测站,3,63,42,10,8,19,阿里地区,_
22,优,0.4,阿里地委,2,70,44,12,_,3,阿里地区,_
249,重度污染,1.4,联富花园,80,40,42,_,199,17,安庆,细颗粒物(PM2.5)
73,良,1.3,深沟寺,39,68,52,89,53,19,鞍山,细颗粒物(PM2.5)
73,良,1.2,明达新区,51,49,40,96,50,39,鞍山,颗粒物(PM10)
68,良,1.0,千山,46,58,49,66,49,21,鞍山,细颗粒物(PM2.5)
72,良,_,太阳城,58,48,43,93,47,32,鞍山,颗粒物(PM10)
73,良,1.8,太平,48,51,44,91,53,31,鞍山,细颗粒物(PM2.5)
77,良,1.4,铁西三道街,48,45,36,88,56,27,鞍山,细颗粒物(PM2.5)
79,良,1.2,铁西工业园区,43,66,53,101,58,22,鞍山,细颗粒物(PM2.5)
74,良,0.9,香溪洞,12,101,64,77,54,11,安康,细颗粒物(PM2.5)
120,轻度污染,1.2,安康市监测站,49,72,30,153,91,27,安康,细颗粒物(PM2.5)
118,轻度污染,1.2,汉滨区检察院,46,74,28,186,87,24,安康,颗粒物(PM10)
118,轻度污染,1.7,棉研所,30,105,71,97,89,21,安阳,细颗粒物(PM2.5)
105,轻度污染,0.9,红庙街,40,87,38,127,79,21,安阳,细颗粒物(PM2.5)
124,轻度污染,_,银杏小区,27,100,54,124,94,16,安阳,细颗粒物(PM2.5)
100,良,1.3,铁佛寺,30,87,52,140,75,20,安阳,细颗粒物(PM2.5)
95,良,1.2,信访局,30,102,58,89,71,18,安阳,细颗粒物(PM2.5)
20,优,1.3,市监测站,20,35,26,20,9,9,百色,_
50,优,1.2,市中心血站,13,33,26,_,35,9,百色,_
119,轻度污染,1.4,豫源饭店,42,79,43,139,90,320,白银,细颗粒物(PM2.5)
100,良,1.3,动力公司,40,75,41,150,53,193,白银,颗粒物(PM10)
