AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
17,优,0.2,州农科所,6,34,38,17,9,11,阿坝州,_
31,优,0.5,州监测站,15,26,32,31,14,24,阿坝州,_
13,优,0.4,马师校,13,32,37,13,9,9,阿坝州,_
18,优,0.4,小东沟,6,57,59,_,10,16,阿勒泰地区,_
8,优,0.8,市站,10,22,13,7,4,3,阿勒泰地区,_
117,轻度污染,2.4,电视台,35,32,26,183,55,8,阿克苏地区,颗粒物(PM10)
123,轻度污染,1.6,艺术中心,22,33,19,196,58,9,阿克苏地区,颗粒物(PM10)
40,优,0.6,体育场,24,82,79,34,28,14,阿拉善盟,_
50,优,1.1,盟环保楼,31,71,74,_,35,14,阿拉善盟,_
29,优,0.4,环保局新楼,6,92,93,12,12,8,阿拉善盟,_
215,重度污染,1.0,环科院,52,22,23,188,165,6,安庆,细颗粒物(PM2.5)
225,重度污染,1.1,马山宾馆,47,35,30,_,175,16,安庆,细颗粒物(PM2.5)
228,重度污染,1.1,联富花园,52,36,34,_,178,9,安庆,细颗粒物(PM2.5)
92,良,1.0,香溪洞,20,68,80,86,68,15,安康,细颗粒物(PM2.5)
112,轻度污染,1.4,安康市监测站,47,5,6,120,84,45,安康,细颗粒物(PM2.5)
110,轻度污染,1.4,汉滨区检察院,49,3,3,116,83,38,安康,细颗粒物(PM2.5)
85,良,2.1,深沟寺,65,20,38,90,63,55,鞍山,细颗粒物(PM2.5)
70,良,1.8,明达新区,68,19,32,89,51,44,鞍山,"颗粒物(PM10)
细颗粒物(PM2.5)"
58,良,1.6,千山,48,24,31,60,41,17,鞍山,细颗粒物(PM2.5)
90,良,2.8,太阳城,78,19,36,117,67,41,鞍山,细颗粒物(PM2.5)
94,良,2.6,太平,64,17,36,90,70,49,鞍山,细颗粒物(PM2.5)
84,良,1.8,铁西三道街,51,15,19,104,62,26,鞍山,细颗粒物(PM2.5)
95,良,1.8,铁西工业园区,64,24,41,128,71,46,鞍山,细颗粒物(PM2.5)
49,优,0.6,阿里监测站,47,17,38,49,27,137,阿里地区,_
38,优,0.6,阿里地委,2,32,51,38,22,3,阿里地区,_
89,良,0.8,伍家关(对照点),14,92,81,85,66,8,安顺,细颗粒物(PM2.5)
93,良,0.7,凤凰山,11,88,77,82,69,27,安顺,细颗粒物(PM2.5)
89,良,0.6,金钟山,14,94,82,90,66,15,安顺,细颗粒物(PM2.5)
107,轻度污染,0.6,娄家坡,20,80,72,97,80,17,安顺,细颗粒物(PM2.5)
74,良,0.9,洮北区环保局,58,29,38,58,54,20,白城,细颗粒物(PM2.5)
52,良,0.5,市环保局,29,22,26,54,29,14,白城,颗粒物(PM10)
416,严重污染,3.6,棉研所,74,14,13,458,374,13,安阳,细颗粒物(PM2.5)
415,严重污染,4.8,红庙街,88,7,6,471,372,47,安阳,细颗粒物(PM2.5)
348,严重污染,4.4,铁佛寺,78,6,5,336,298,28,安阳,细颗粒物(PM2.5)
443,严重污染,4.5,信访局,88,17,17,543,398,35,安阳,颗粒物(PM10)
95,良,2.1,市监测站,33,4,6,90,71,21,百色,细颗粒物(PM2.5)
85,良,1.6,市中心血站,27,3,3,113,63,21,百色,细颗粒物(PM2.5)
