AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
62,良,0.6,万寿西宫,34,36,30,74,16,5,北京,颗粒物(PM10)
88,良,1.3,定陵,58,13,31,110,65,13,北京,细颗粒物(PM2.5)
62,良,0.6,东四,33,34,29,74,23,8,北京,颗粒物(PM10)
62,良,0.5,天坛,34,41,33,74,20,6,北京,颗粒物(PM10)
28,优,2.2,大峪,24,56,80,21,19,22,本溪,_
87,良,1.3,溪湖,53,18,57,94,64,52,本溪,细颗粒物(PM2.5)
48,优,0.8,彩屯,35,39,60,39,33,29,本溪,_
58,良,1.6,东明,67,13,48,_,41,47,本溪,细颗粒物(PM2.5)
57,良,0.8,威宁,53,14,60,64,26,12,本溪,颗粒物(PM10)
217,重度污染,1.7,高新区,80,37,103,194,167,8,蚌埠,细颗粒物(PM2.5)
62,良,0.7,农展馆,38,33,33,74,18,8,北京,颗粒物(PM10)
54,良,0.5,官园,30,46,32,57,15,8,北京,颗粒物(PM10)
42,优,1.0,新立屯,56,10,51,42,26,11,本溪,_
61,良,0.4,海淀区万柳,35,45,32,72,19,9,北京,颗粒物(PM10)
81,良,0.8,顺义新城,32,43,40,111,40,12,北京,颗粒物(PM10)
42,优,1.1,八中,20,41,36,35,29,6,毕节,_
49,优,1.2,师专,29,31,34,49,29,10,毕节,_
84,良,0.7,怀柔镇,38,27,27,117,46,6,北京,颗粒物(PM10)
86,良,0.9,昌平镇,52,15,25,122,39,10,北京,颗粒物(PM10)
65,良,0.6,奥体中心,36,39,33,80,19,6,北京,颗粒物(PM10)
260,重度污染,2.1,市环保局,102,4,44,287,210,40,滨州,细颗粒物(PM2.5)
67,良,1.3,博乐市西郊区,29,50,53,84,46,30,博州,颗粒物(PM10)
94,良,1.5,市环保局,35,51,51,91,70,28,博州,细颗粒物(PM2.5)
256,重度污染,2.3,第二水厂,110,2,41,268,206,50,滨州,细颗粒物(PM2.5)
218,重度污染,2.2,北中新校,89,9,46,193,168,37,滨州,细颗粒物(PM2.5)
163,中度污染,1.5,污水处理厂,95,25,54,275,_,9,亳州,颗粒物(PM10)
289,重度污染,1.4,三国揽胜宫,72,43,70,251,239,16,亳州,细颗粒物(PM2.5)
63,良,0.8,沧县城建局,44,28,38,69,45,30,沧州,细颗粒物(PM2.5)
68,良,0.6,电视转播站,63,22,36,86,46,33,沧州,颗粒物(PM10)
69,良,0.5,市环保局,51,18,34,69,50,24,沧州,细颗粒物(PM2.5)
65,良,0.6,食品厂,40,26,47,79,35,12,长春,颗粒物(PM10)
74,良,1.3,客车厂,41,19,43,97,52,37,长春,颗粒物(PM10)
69,良,0.9,邮电学院,52,19,42,87,40,38,长春,颗粒物(PM10)
56,良,0.8,劳动公园,42,34,61,61,21,34,长春,颗粒物(PM10)
64,良,0.8,园林处,47,29,52,77,24,66,长春,颗粒物(PM10)
45,优,0.5,净月潭,33,33,64,45,14,50,长春,_
65,良,0.9,甩湾子,30,46,77,80,45,23,长春,颗粒物(PM10)
56,良,0.3,经开区环卫处,41,27,53,62,18,57,长春,颗粒物(PM10)
70,良,1.0,高新区管委会,56,22,63,90,_,9,长春,颗粒物(PM10)
77,良,1.0,岱山公园,46,22,55,104,55,13,长春,颗粒物(PM10)
88,良,1.0,市二中,31,42,61,91,65,8,常德,细颗粒物(PM2.5)
75,良,1.6,白鹤山,14,39,41,58,55,8,常德,细颗粒物(PM2.5)
98,良,1.2,武陵区永安(启用171130),65,19,33,93,73,16,常德,细颗粒物(PM2.5)
89,良,1.5,鼎城区玉霞(启用171130),60,29,48,102,66,11,常德,细颗粒物(PM2.5)
95,良,1.3,武陵区长庚,76,19,48,114,71,15,常德,细颗粒物(PM2.5)
29,优,0.5,昌都监测站,5,91,61,12,_,4,昌都地区,_
26,优,0.9,昌都地区昌都坝,17,82,53,_,6,12,昌都地区,_
29,优,1.4,天山天池,7,92,106,_,16,7,昌吉州,_
