AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
49,优,0.6,工人疗养院,32,96,93,34,34,18,蚌埠,_
53,良,0.7,百货大楼,60,50,60,55,36,32,蚌埠,颗粒物(PM10)
58,良,0.6,二水厂,30,62,73,65,37,40,蚌埠,颗粒物(PM10)
51,良,0.2,农展馆,13,56,63,52,5,3,北京,颗粒物(PM10)
40,优,0.5,蚌埠学院,32,100,94,40,15,9,蚌埠,_
53,良,0.5,淮上区政府,30,81,78,55,21,18,蚌埠,颗粒物(PM10)
45,优,0.6,高新区,37,92,87,45,19,8,蚌埠,_
37,优,0.2,官园,12,62,70,37,3,2,北京,_
24,优,0.5,海淀区万柳,4,73,80,24,6,2,北京,_
23,优,0.4,顺义新城,4,70,72,23,6,3,北京,_
43,优,0.9,大峪,41,44,60,40,30,35,本溪,_
89,良,1.1,彩屯,30,55,64,_,66,27,本溪,细颗粒物(PM2.5)
47,优,0.8,东明,34,44,47,47,30,28,本溪,_
39,优,0.5,威宁,49,28,58,39,20,22,本溪,_
20,优,0.2,怀柔镇,3,63,65,16,3,2,北京,_
26,优,0.4,昌平镇,_,56,63,26,7,_,北京,_
35,优,0.2,奥体中心,10,57,63,35,3,2,北京,_
53,良,0.9,新立屯,52,19,38,48,37,24,本溪,细颗粒物(PM2.5)
107,轻度污染,0.8,市环保局,20,56,54,163,14,3,滨州,颗粒物(PM10)
64,良,1.1,八中,19,67,62,69,46,7,毕节,细颗粒物(PM2.5)
64,良,1.1,师专,24,61,66,73,46,12,毕节,细颗粒物(PM2.5)
40,优,0.3,古城,12,65,70,40,5,3,北京,_
115,轻度污染,0.5,第二水厂,19,60,57,180,13,11,滨州,颗粒物(PM10)
111,轻度污染,0.3,北中新校,16,53,52,171,16,4,滨州,颗粒物(PM10)
98,良,1.3,博乐市西郊区,21,45,36,146,62,41,博州,颗粒物(PM10)
110,轻度污染,1.1,市环保局,33,34,23,130,83,54,博州,细颗粒物(PM2.5)
88,良,0.5,污水处理厂,44,69,82,_,65,14,亳州,细颗粒物(PM2.5)
62,良,0.5,三国揽胜宫,38,77,86,73,24,15,亳州,颗粒物(PM10)
63,良,0.5,沧县城建局,18,61,64,76,24,13,沧州,颗粒物(PM10)
55,良,0.8,食品厂,39,38,47,44,39,15,长春,细颗粒物(PM2.5)
60,良,0.9,客车厂,33,30,52,49,43,15,长春,细颗粒物(PM2.5)
84,良,1.1,邮电学院,55,24,37,70,62,62,长春,细颗粒物(PM2.5)
68,良,0.2,电视转播站,16,62,66,86,32,20,沧州,颗粒物(PM10)
46,优,0.8,劳动公园,49,27,49,38,32,30,长春,_
46,优,0.7,园林处,53,20,42,45,32,57,长春,_
38,优,0.4,净月潭,38,39,63,_,26,15,长春,_
65,良,0.9,甩湾子,27,54,65,50,47,21,长春,细颗粒物(PM2.5)
53,良,1.2,市二中,38,66,71,_,37,6,常德,细颗粒物(PM2.5)
38,优,0.7,白鹤山,14,58,78,37,26,5,常德,_
46,优,1.2,武陵区永安(启用171130),49,59,62,36,32,8,常德,_
45,优,1.1,鼎城区玉霞(启用171130),63,47,64,36,31,9,常德,_
47,优,1.0,武陵区长庚,32,72,69,47,28,9,常德,_
67,良,0.4,市环保局,18,65,70,84,38,19,沧州,颗粒物(PM10)
51,良,0.6,经开区环卫处,_,28,43,52,33,50,长春,颗粒物(PM10)
57,良,0.6,高新区管委会,28,50,61,40,40,8,长春,细颗粒物(PM2.5)
55,良,0.7,昌都监测站,21,79,82,59,20,5,昌都,颗粒物(PM10)
31,优,1.9,昌都地区昌都坝,27,63,67,31,16,2,昌都,_
68,良,1.2,岱山公园,54,26,56,_,49,15,长春,细颗粒物(PM2.5)
29,优,0.5,昌都监测站,5,91,61,12,_,4,昌都地区,_
26,优,0.9,昌都地区昌都坝,17,82,53,_,6,12,昌都地区,_
29,优,0.5,天山天池,4,91,94,7,2,5,昌吉州,_
68,良,1.0,经开区环保局,59,53,50,65,49,9,长沙,细颗粒物(PM2.5)
59,良,0.8,高开区环保局,48,63,64,52,42,10,长沙,细颗粒物(PM2.5)
85,良,0.8,马坡岭,68,36,45,76,63,9,长沙,细颗粒物(PM2.5)
58,良,0.9,湖南师范大学,28,69,66,64,41,7,长沙,细颗粒物(PM2.5)
65,良,1.2,雨花区环保局,68,44,46,58,47,9,长沙,细颗粒物(PM2.5)
74,良,1.2,伍家岭,49,71,53,54,54,14,长沙,细颗粒物(PM2.5)
68,良,1.0,火车新站,77,42,46,69,49,8,长沙,细颗粒物(PM2.5)
263,重度污染,2.9,州监测站,40,18,19,282,213,17,昌吉州,细颗粒物(PM2.5)
214,重度污染,1.5,新区政务中心,45,34,28,223,164,46,昌吉州,细颗粒物(PM2.5)
60,良,0.6,天心区环保局,62,62,67,55,43,7,长沙,细颗粒物(PM2.5)
55,良,0.8,湖南中医药大学,41,68,63,59,37,9,长沙,颗粒物(PM10)
55,良,0.8,沙坪,19,69,56,45,39,10,长沙,细颗粒物(PM2.5)
51,良,0.5,海虞子站,41,64,64,51,_,12,常熟,颗粒物(PM10)
51,良,0.5,菱塘子站,28,75,73,52,19,24,常熟,颗粒物(PM10)
37,优,0.4,清华站,14,87,94,37,15,15,长治,_
45,优,0.4,监测站,16,83,88,45,17,16,长治,_
41,优,0.5,审计局,20,83,85,41,18,13,长治,_
56,良,0.9,长治八中,12,66,73,62,20,21,长治,颗粒物(PM10)
43,优,0.6,德盛苑,18,69,72,43,14,41,长治,_
38,优,1.0,市监测站,31,79,83,38,22,10,常州,_
48,优,1.3,城建学校,34,8,8,48,30,13,常州,_
38,优,1.0,常工院,65,13,7,33,26,14,常州,_
56,良,1.2,潞城,62,10,7,62,32,19,常州,颗粒物(PM10)
38,优,0.7,武进监测站,29,66,68,38,18,13,常州,_
56,良,0.7,安家,30,64,70,62,29,14,常州,颗粒物(PM10)
37,优,0.8,行政中心,33,72,77,37,18,10,常州,_
60,良,0.9,经开区,36,72,85,69,22,13,常州,颗粒物(PM10)
42,优,0.8,钟楼,45,55,64,42,20,11,常州,_
68,良,0.7,西梁,10,61,64,85,18,16,朝阳,颗粒物(PM10)
54,良,0.6,河畔小区,14,59,62,57,13,16,朝阳,颗粒物(PM10)
62,良,0.6,八里堡,12,50,52,74,12,34,朝阳,颗粒物(PM10)
56,良,0.5,农业园区,2,67,68,62,9,15,朝阳,颗粒物(PM10)
45,优,1.0,西园路,21,_,56,44,31,8,潮州,_
48,优,1.1,档案局,18,65,66,48,30,9,潮州,_
52,良,0.9,市政府,23,61,64,53,27,10,潮州,颗粒物(PM10)
34,优,0.3,铁路,11,69,68,34,17,10,承德,_
60,良,0.5,中国银行,13,61,62,69,9,9,承德,颗粒物(PM10)
32,优,0.3,开发区,1,72,70,32,20,5,承德,_
24,优,0.4,文化中心,7,73,72,24,10,3,承德,_
36,优,0.6,离宫,5,71,72,36,13,10,承德,_
57,良,0.6,金泉两河,46,80,65,64,38,8,成都,颗粒物(PM10)
66,良,0.7,十里店,33,110,84,81,46,8,成都,颗粒物(PM10)
57,良,0.5,三瓦窑,55,81,69,64,35,5,成都,颗粒物(PM10)
67,良,0.7,沙河铺,54,68,61,81,48,13,成都,细颗粒物(PM2.5)
70,良,0.8,梁家巷,37,80,111,89,50,_,成都,颗粒物(PM10)
65,良,0.9,灵岩寺,23,115,99,79,40,10,成都,颗粒物(PM10)
62,良,0.7,君平街,48,89,76,73,37,9,成都,颗粒物(PM10)
58,良,0.5,大石西路,51,75,63,66,37,8,成都,颗粒物(PM10)
51,良,0.6,龙泉驿区区政府,26,70,67,51,32,7,成都,颗粒物(PM10)
52,良,0.6,马头岭,9,93,86,54,36,14,郴州,"颗粒物(PM10)
细颗粒物(PM2.5)"
67,良,0.6,市职中,28,62,64,72,48,6,郴州,细颗粒物(PM2.5)
63,良,0.4,市审计局,28,71,71,70,45,22,郴州,细颗粒物(PM2.5)
93,良,1.3,市环保局,27,69,58,82,69,12,郴州,细颗粒物(PM2.5)
52,良,0.6,池州学院,18,88,85,54,24,18,池州,颗粒物(PM10)
64,良,0.7,松山一中,9,46,50,77,8,9,赤峰,颗粒物(PM10)
55,良,0.9,哈达街,14,56,59,59,14,10,赤峰,颗粒物(PM10)
47,优,1.2,天义路,20,52,57,47,9,9,赤峰,_
52,良,0.6,银河街,5,51,53,53,11,7,赤峰,颗粒物(PM10)
54,良,0.5,平天湖,24,109,119,57,27,6,池州,颗粒物(PM10)
54,良,0.5,老干部局,45,72,80,58,26,10,池州,颗粒物(PM10)
46,优,1.0,市环保局江州分局,13,78,65,46,27,10,崇左,_
47,优,1.1,城南新区,13,71,61,47,27,8,崇左,_
27,优,0.5,州环境监测站,9,84,64,23,4,23,楚雄州,_
64,良,0.6,缙云山,44,68,67,78,38,7,重庆,颗粒物(PM10)
60,良,0.9,天生,79,20,33,54,43,10,重庆,细颗粒物(PM2.5)
40,优,0.6,市经济开发区,9,87,69,40,7,11,楚雄州,_
75,良,1.0,两路,71,48,49,67,55,16,重庆,细颗粒物(PM2.5)
57,良,0.5,虎溪,58,54,45,59,40,10,重庆,细颗粒物(PM2.5)
65,良,0.9,南坪,42,71,60,62,47,18,重庆,细颗粒物(PM2.5)
70,良,0.8,唐家沱,33,89,62,90,37,24,重庆,颗粒物(PM10)
36,优,0.3,老年大学,8,96,89,36,20,18,滁州,_
54,良,0.4,人大宾馆,25,93,96,58,21,3,滁州,颗粒物(PM10)
72,良,0.6,茶园,37,59,40,93,35,19,重庆,颗粒物(PM10)
55,良,0.4,监测站,29,77,80,60,13,9,滁州,颗粒物(PM10)
58,良,0.3,白市驿,39,62,50,65,38,8,重庆,颗粒物(PM10)
59,良,1.0,空港,51,82,60,63,42,21,重庆,细颗粒物(PM2.5)
55,良,0.8,新山村,70,48,44,60,33,10,重庆,颗粒物(PM10)
68,良,1.0,礼嘉,77,55,47,85,38,28,重庆,颗粒物(PM10)
52,良,0.8,蔡家,51,56,37,53,36,6,重庆,"颗粒物(PM10)
细颗粒物(PM2.5)"
58,良,0.7,鱼新街,30,79,59,65,36,13,重庆,颗粒物(PM10)
28,优,0.5,甘井子,27,57,68,28,11,9,大连,_
45,优,0.6,周水子,23,25,58,45,16,25,大连,_
82,良,1.7,江湾东路,63,31,70,74,60,38,丹东,细颗粒物(PM2.5)
41,优,1.2,临江后街,29,50,68,41,28,29,丹东,_
33,优,1.0,元宝山,44,28,51,32,23,42,丹东,_
53,良,1.4,民主桥,39,51,60,51,37,31,丹东,细颗粒物(PM2.5)
54,良,0.9,歇台子,52,52,34,58,31,19,重庆,颗粒物(PM10)
54,良,0.4,龙井湾,46,77,62,58,34,16,重庆,颗粒物(PM10)
43,优,1.5,龙洲湾,27,64,37,43,22,12,重庆,_
28,优,0.9,星海三站,53,30,63,28,13,30,大连,_
36,优,0.9,青泥洼桥,40,41,54,36,10,16,大连,_
36,优,0.9,傅家庄,22,49,56,36,10,1,大连,_
39,优,0.8,七贤岭,43,46,72,39,13,10,大连,_
27,优,0.6,旅顺,17,53,50,27,11,7,大连,_
31,优,0.5,金州,23,63,67,31,12,10,大连,_
30,优,0.4,大理市环境监测站,14,95,89,11,5,2,大理州,_
54,良,1.1,大理古城,9,79,60,58,2,5,大理州,颗粒物(PM10)
66,良,0.9,上清寺,56,64,53,82,37,26,重庆,颗粒物(PM10)
27,优,0.8,开发区,53,34,59,27,14,16,大连,_
23,优,0.7,双D港,9,73,75,22,13,16,大连,_
38,优,1.0,大同区,6,66,64,_,26,10,大庆,_
26,优,0.6,龙凤区,16,44,44,26,12,11,大庆,_
29,优,0.5,红岗区,24,45,51,24,20,12,大庆,_
33,优,0.4,萨尔图区,26,43,53,23,23,60,大庆,_
28,优,0.4,让胡路区,12,50,52,28,17,6,大庆,_
35,优,0.7,果树场,14,83,80,35,9,19,大同,_
17,优,0.8,云冈宾馆,12,52,58,12,9,18,大同,_
44,优,0.8,大同大学,13,64,69,44,9,12,大同,_
26,优,0.4,安家小村,6,81,81,25,11,2,大同,_
37,优,0.9,教育学院,23,39,46,37,7,19,大同,_
103,轻度污染,1.9,达州职业技术学院,60,_,86,121,77,20,达州,细颗粒物(PM2.5)
26,优,1.1,环保局,19,54,57,26,11,22,大兴安岭地区,_
87,良,1.5,市环境监测站,83,31,35,112,64,25,达州,细颗粒物(PM2.5)
87,良,2.0,凤凰小区,84,59,70,114,64,27,达州,细颗粒物(PM2.5)
87,良,3.0,达县机关宾馆,112,51,73,124,63,16,达州,颗粒物(PM10)
