AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
65,良,1.2,农展馆,69,13,10,64,47,19,北京,细颗粒物(PM2.5)
59,良,42,官园,68,1.1,71,"
                  ","
                      细颗粒物(PM2.5)
                      ",6,北京,"
                      颗粒物(PM10)
                      "
57,良,1.2,海淀区万柳,70,10,5,62,40,18,北京,细颗粒物(PM2.5)
47,优,1.4,顺义新城,43,14,6,47,32,12,北京,_
29,优,0.7,怀柔镇,35,21,19,26,20,4,北京,_
134,轻度污染,1.5,工人疗养院,19,18,19,114,102,23,蚌埠,细颗粒物(PM2.5)
134,轻度污染,1.5,百货大楼,41,20,33,_,102,21,蚌埠,细颗粒物(PM2.5)
69,良,1.1,昌平镇,39,20,6,60,50,24,北京,细颗粒物(PM2.5)
62,良,1.2,奥体中心,61,19,14,69,44,22,北京,细颗粒物(PM2.5)
60,良,1.3,古城,71,6,2,54,43,13,北京,细颗粒物(PM2.5)
112,轻度污染,1.6,二水厂,45,117,60,_,84,23,蚌埠,细颗粒物(PM2.5)
90,良,1.5,蚌埠学院,57,32,51,77,67,14,蚌埠,细颗粒物(PM2.5)
33,优,1.7,八中,33,12,21,33,22,12,毕节,_
87,良,2.2,大峪,44,20,9,86,64,59,本溪,细颗粒物(PM2.5)
127,轻度污染,1.8,淮上区政府,34,28,42,104,96,26,蚌埠,细颗粒物(PM2.5)
142,轻度污染,1.4,高新区,59,27,42,_,108,16,蚌埠,细颗粒物(PM2.5)
13,优,1.3,师专,23,18,25,11,5,13,毕节,_
110,轻度污染,1.8,溪湖,47,17,14,169,81,71,本溪,颗粒物(PM10)
159,中度污染,2.2,彩屯,52,17,14,151,121,118,本溪,细颗粒物(PM2.5)
113,轻度污染,2.5,东明,52,13,8,117,85,74,本溪,细颗粒物(PM2.5)
113,轻度污染,1.3,威宁,35,19,8,135,85,40,本溪,细颗粒物(PM2.5)
72,良,1.5,新立屯,48,8,3,70,52,61,本溪,细颗粒物(PM2.5)
112,轻度污染,1.8,市环保局,54,31,12,142,84,53,滨州,细颗粒物(PM2.5)
145,轻度污染,1.7,第二水厂,56,16,6,118,111,47,滨州,细颗粒物(PM2.5)
128,轻度污染,1.6,北中新校,53,18,6,_,97,47,滨州,细颗粒物(PM2.5)
57,良,40,市环保局,64,1.8,35,"
                  ","
                      细颗粒物(PM2.5)
                      ",20,博州,"
                      颗粒物(PM10)
                      "
137,轻度污染,1.0,污水处理厂,32,47,48,128,104,9,亳州,细颗粒物(PM2.5)
138,轻度污染,1.0,三国揽胜宫,42,30,32,_,105,13,亳州,细颗粒物(PM2.5)
144,轻度污染,2.1,沧县城建局,72,13,4,138,110,56,沧州,细颗粒物(PM2.5)
145,轻度污染,2.5,电视转播站,75,9,4,158,111,62,沧州,细颗粒物(PM2.5)
155,中度污染,2.1,市环保局,71,17,10,148,118,60,沧州,细颗粒物(PM2.5)
84,良,1.2,食品厂,62,20,19,104,62,112,长春,细颗粒物(PM2.5)
93,良,1.6,客车厂,49,31,20,84,69,59,长春,细颗粒物(PM2.5)
135,轻度污染,1.4,邮电学院,55,27,22,151,103,93,长春,细颗粒物(PM2.5)
107,轻度污染,1.2,劳动公园,42,33,16,93,80,28,长春,细颗粒物(PM2.5)
100,良,1.6,园林处,66,27,18,98,75,78,长春,细颗粒物(PM2.5)
63,良,0.5,净月潭,19,60,54,59,45,40,长春,细颗粒物(PM2.5)
92,良,1.5,甩湾子,26,47,40,95,68,31,长春,细颗粒物(PM2.5)
88,良,0.8,经开区环卫处,39,38,26,87,65,41,长春,细颗粒物(PM2.5)
112,轻度污染,1.0,高新区管委会,34,37,27,117,84,24,长春,细颗粒物(PM2.5)
78,良,1.4,岱山公园,30,48,27,96,57,51,长春,细颗粒物(PM2.5)
54,良,38,昌都监测站,58,0.6,23,"
                  ","
                      细颗粒物(PM2.5)
                      ",36,昌都,"
                      颗粒物(PM10)
                      "
62,良,2.3,昌都地区昌都坝,13,30,40,71,44,7,昌都,细颗粒物(PM2.5)
89,良,1.5,市二中,25,67,82,_,66,4,常德,细颗粒物(PM2.5)
83,良,0.8,白鹤山,16,84,82,_,61,7,常德,细颗粒物(PM2.5)
92,良,1.3,武陵区永安(启用171130),31,60,73,_,68,8,常德,细颗粒物(PM2.5)
94,良,1.1,鼎城区玉霞(启用171130),35,53,70,82,70,6,常德,细颗粒物(PM2.5)
85,良,1.1,武陵区长庚,14,69,79,_,63,8,常德,细颗粒物(PM2.5)
29,优,0.5,昌都监测站,5,91,61,12,_,4,昌都地区,_
26,优,0.9,昌都地区昌都坝,17,82,53,_,6,12,昌都地区,_
30,优,1.5,天山天池,8,96,98,22,15,7,昌吉州,_
185,中度污染,2.7,州监测站,36,19,19,320,100,16,昌吉州,颗粒物(PM10)
218,重度污染,2.6,新区政务中心,85,16,15,238,168,10,昌吉州,细颗粒物(PM2.5)
21,优,0.5,海虞子站,42,34,42,16,_,14,常熟,_
35,优,0.8,兴福子站,44,24,32,31,24,11,常熟,_
58,良,0.9,经开区环保局,24,61,51,_,41,4,长沙,细颗粒物(PM2.5)
54,良,0.8,高开区环保局,17,65,66,_,38,5,长沙,细颗粒物(PM2.5)
25,优,0.6,菱塘子站,49,26,45,21,16,21,常熟,_
72,良,0.8,马坡岭,18,66,56,_,52,5,长沙,细颗粒物(PM2.5)
70,良,1.0,湖南师范大学,12,71,68,_,51,4,长沙,细颗粒物(PM2.5)
60,良,0.6,雨花区环保局,27,58,52,_,43,5,长沙,细颗粒物(PM2.5)
143,轻度污染,1.8,清华站,29,42,34,142,109,38,长治,细颗粒物(PM2.5)
67,良,0.9,伍家岭,32,65,62,_,48,7,长沙,细颗粒物(PM2.5)
67,良,0.9,火车新站,29,60,57,_,48,4,长沙,细颗粒物(PM2.5)
49,优,0.9,天心区环保局,29,71,63,_,34,4,长沙,_
144,轻度污染,1.9,监测站,31,43,36,143,110,36,长治,细颗粒物(PM2.5)
160,中度污染,2.1,审计局,39,37,30,144,122,42,长治,细颗粒物(PM2.5)
159,中度污染,2.4,长治八中,28,31,25,135,121,49,长治,细颗粒物(PM2.5)
43,优,2.0,市监测站,68,4,17,36,30,10,常州,_
48,优,1.3,城建学校,34,8,8,48,30,13,常州,_
38,优,1.0,常工院,65,13,7,33,26,14,常州,_
