AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
53,良,0.2,官园,10,65,71,55,3,2,北京,颗粒物(PM10)
28,优,0.4,海淀区万柳,4,76,80,28,7,3,北京,_
25,优,0.4,顺义新城,4,_,_,25,7,3,北京,_
27,优,0.2,怀柔镇,3,64,66,27,6,2,北京,_
23,优,0.4,昌平镇,8,61,64,23,7,3,北京,_
43,优,0.2,奥体中心,6,62,64,43,4,2,北京,_
53,良,0.3,古城,9,69,71,55,10,2,北京,颗粒物(PM10)
40,优,0.5,蚌埠学院,26,111,90,40,14,9,蚌埠,_
54,良,0.5,淮上区政府,29,79,74,58,25,19,蚌埠,颗粒物(PM10)
45,优,0.6,高新区,34,95,83,45,17,9,蚌埠,_
32,优,1.0,大峪,34,53,59,32,22,43,本溪,_
52,良,0.9,彩屯,38,44,64,40,36,22,本溪,细颗粒物(PM2.5)
40,优,0.8,东明,31,48,45,40,26,26,本溪,_
72,良,1.2,八中,29,60,61,80,52,13,毕节,细颗粒物(PM2.5)
62,良,1.0,师专,24,67,66,70,44,13,毕节,细颗粒物(PM2.5)
36,优,0.4,威宁,22,50,58,36,14,16,本溪,_
80,良,0.8,市环保局,21,60,51,109,23,4,滨州,颗粒物(PM10)
77,良,0.5,第二水厂,21,62,53,103,14,12,滨州,颗粒物(PM10)
74,良,0.3,北中新校,14,56,48,98,_,5,滨州,颗粒物(PM10)
39,优,0.9,新立屯,61,11,40,35,27,30,本溪,_
55,良,0.4,污水处理厂,29,81,81,56,39,16,亳州,细颗粒物(PM2.5)
90,良,1.4,博乐市西郊区,21,42,33,129,60,60,博州,颗粒物(PM10)
114,轻度污染,1.2,市环保局,29,36,20,139,86,64,博州,细颗粒物(PM2.5)
44,优,0.4,三国揽胜宫,27,87,84,44,23,16,亳州,_
85,良,0.5,沧县城建局,13,69,60,119,24,13,沧州,颗粒物(PM10)
88,良,0.2,电视转播站,9,70,62,126,32,20,沧州,颗粒物(PM10)
76,良,0.3,市环保局,10,75,66,101,26,17,沧州,颗粒物(PM10)
39,优,0.7,食品厂,36,41,47,36,27,7,长春,_
42,优,0.7,客车厂,30,37,55,29,29,20,长春,_
70,良,1.0,邮电学院,53,32,40,58,51,123,长春,细颗粒物(PM2.5)
33,优,0.7,劳动公园,41,38,51,31,23,31,长春,_
39,优,1.0,市二中,12,97,66,29,27,3,常德,_
35,优,0.6,园林处,49,24,44,33,24,44,长春,_
51,良,0.8,白鹤山,15,74,75,52,32,6,常德,颗粒物(PM10)
32,优,1.0,武陵区永安(启用171130),24,85,58,31,22,7,常德,_
36,优,1.0,鼎城区玉霞(启用171130),21,91,60,34,25,5,常德,_
38,优,0.8,武陵区长庚,15,88,63,36,26,10,常德,_
28,优,0.7,昌都监测站,12,86,79,28,17,6,昌都,_
24,优,1.4,昌都地区昌都坝,13,75,65,15,6,2,昌都,_
25,优,0.2,净月潭,23,59,64,22,17,14,长春,_
48,优,0.7,甩湾子,17,62,65,_,33,11,长春,_
48,优,0.6,经开区环卫处,57,28,44,41,33,76,长春,_
35,优,0.4,高新区管委会,22,57,62,32,24,5,长春,_
35,优,1.0,岱山公园,37,43,59,31,24,6,长春,_
29,优,0.5,天山天池,4,90,93,10,8,6,昌吉州,_
269,重度污染,3.2,州监测站,41,20,19,318,219,18,昌吉州,细颗粒物(PM2.5)
222,重度污染,1.6,新区政务中心,43,35,26,248,172,45,昌吉州,细颗粒物(PM2.5)
29,优,0.5,昌都监测站,5,91,61,12,_,4,昌都地区,_
26,优,0.9,昌都地区昌都坝,17,82,53,_,6,12,昌都地区,_
70,良,0.9,经开区环保局,53,59,44,75,51,8,长沙,细颗粒物(PM2.5)
48,优,0.4,海虞子站,30,73,62,48,_,14,常熟,_
62,良,0.7,兴福子站,16,70,57,74,33,17,常熟,颗粒物(PM10)
46,优,0.6,高开区环保局,31,76,57,37,32,8,长沙,_
82,良,0.7,马坡岭,54,54,42,67,60,8,长沙,细颗粒物(PM2.5)
53,良,0.5,菱塘子站,21,83,70,55,18,23,常熟,颗粒物(PM10)
43,优,0.3,清华站,10,94,93,43,24,17,长治,_
48,优,0.3,监测站,13,87,87,48,20,16,长治,_
45,优,0.4,审计局,12,90,81,45,21,14,长治,_
60,良,0.9,湖南师范大学,37,67,56,55,43,7,长沙,细颗粒物(PM2.5)
62,良,1.0,雨花区环保局,59,51,41,58,44,9,长沙,细颗粒物(PM2.5)
60,良,0.8,伍家岭,43,75,45,46,43,10,长沙,细颗粒物(PM2.5)
62,良,0.7,火车新站,58,60,42,59,44,6,长沙,细颗粒物(PM2.5)
58,良,0.5,天心区环保局,56,70,61,58,41,8,长沙,细颗粒物(PM2.5)
37,优,0.8,长治八中,6,72,72,37,22,23,长治,_
51,良,0.6,德盛苑,20,72,72,52,20,32,长治,颗粒物(PM10)
34,优,0.9,市监测站,22,89,80,34,21,11,常州,_
48,优,1.3,城建学校,34,8,8,48,30,13,常州,_
38,优,1.0,常工院,65,13,7,33,26,14,常州,_
56,良,1.2,潞城,62,10,7,62,32,19,常州,颗粒物(PM10)
37,优,0.7,武进监测站,23,71,66,37,18,13,常州,_
67,良,0.8,湖南中医药大学,60,50,55,84,43,9,长沙,颗粒物(PM10)
54,良,0.8,沙坪,19,75,50,49,38,12,长沙,细颗粒物(PM2.5)
51,良,0.7,安家,22,75,70,51,22,14,常州,颗粒物(PM10)
34,优,0.7,行政中心,28,84,75,34,16,10,常州,_
53,良,0.9,经开区,_,91,84,56,20,13,常州,颗粒物(PM10)
37,优,0.8,钟楼,34,67,63,37,19,11,常州,_
44,优,0.9,西园路,18,_,56,44,29,8,潮州,_
42,优,1.0,档案局,16,65,66,41,29,10,潮州,_
49,优,0.8,市政府,16,67,64,49,27,9,潮州,_
54,良,0.6,河畔小区,15,59,61,58,12,14,朝阳,颗粒物(PM10)
65,良,0.6,八里堡,14,50,53,80,12,42,朝阳,颗粒物(PM10)
57,良,0.5,农业园区,1,69,64,64,8,14,朝阳,颗粒物(PM10)
68,良,0.2,铁路,10,73,61,85,22,10,承德,颗粒物(PM10)
42,优,0.5,中国银行,13,62,56,42,9,9,承德,_
40,优,0.3,开发区,2,74,63,40,14,5,承德,_
24,优,0.4,文化中心,6,74,67,24,9,4,承德,_
59,良,0.5,金泉两河,_,84,54,63,42,10,成都,细颗粒物(PM2.5)
66,良,0.4,十里店,27,123,71,81,42,7,成都,颗粒物(PM10)
58,良,0.4,三瓦窑,43,98,60,66,38,5,成都,颗粒物(PM10)
67,良,0.5,沙河铺,37,87,53,84,47,13,成都,颗粒物(PM10)
70,良,0.8,梁家巷,37,80,111,89,50,_,成都,颗粒物(PM10)
64,良,0.6,离宫,5,73,67,77,9,10,承德,颗粒物(PM10)
63,良,0.9,灵岩寺,24,121,94,75,37,12,成都,颗粒物(PM10)
59,良,0.7,君平街,40,98,66,68,32,9,成都,颗粒物(PM10)
57,良,0.5,大石西路,45,80,54,63,35,9,成都,颗粒物(PM10)
48,优,0.5,龙泉驿区区政府,23,73,60,48,30,5,成都,_
55,良,0.6,马头岭,17,91,80,59,35,10,郴州,颗粒物(PM10)
75,良,0.6,市职中,16,74,60,76,55,5,郴州,细颗粒物(PM2.5)
75,良,1.0,兴隆步行街,_,66,64,94,55,_,郴州,细颗粒物(PM2.5)
79,良,0.1,市审计局,23,81,65,80,58,20,郴州,细颗粒物(PM2.5)
109,轻度污染,1.3,市环保局,22,86,51,91,82,16,郴州,细颗粒物(PM2.5)
84,良,0.6,松山一中,7,49,48,118,7,9,赤峰,颗粒物(PM10)
56,良,0.3,哈达街,11,57,57,61,10,9,赤峰,颗粒物(PM10)
51,良,0.7,天义路,13,60,55,51,7,8,赤峰,颗粒物(PM10)
53,良,0.3,银河街,3,54,52,55,8,8,赤峰,颗粒物(PM10)
69,良,0.7,缙云山,47,63,70,87,37,5,重庆,颗粒物(PM10)
44,优,0.5,池州学院,16,96,80,44,19,16,池州,_
52,良,0.4,平天湖,20,120,116,53,25,6,池州,颗粒物(PM10)
45,优,0.4,老干部局,28,82,79,45,20,10,池州,_
60,良,_,天生,43,_,31,54,43,7,重庆,细颗粒物(PM2.5)
59,良,0.8,两路,44,72,44,61,42,14,重庆,细颗粒物(PM2.5)
55,良,0.5,虎溪,62,54,39,59,39,10,重庆,"
                      颗粒物(PM10)
                      

                  "
34,优,0.9,市环保局江州分局,13,79,61,34,23,10,崇左,_
39,优,1.0,城南新区,13,74,55,39,26,8,崇左,_
58,良,0.7,南坪,20,88,53,49,41,7,重庆,细颗粒物(PM2.5)
63,良,1.0,唐家沱,38,86,51,76,23,37,重庆,颗粒物(PM10)
65,良,0.6,茶园,33,58,33,80,30,12,重庆,颗粒物(PM10)
55,良,0.3,白市驿,37,68,44,60,30,8,重庆,颗粒物(PM10)
51,良,0.8,空港,37,95,57,52,27,18,重庆,颗粒物(PM10)
50,优,0.6,新山村,48,67,39,50,21,8,重庆,_
64,良,0.7,礼嘉,50,77,41,77,28,18,重庆,颗粒物(PM10)
50,优,0.8,蔡家,38,68,31,46,35,6,重庆,_
27,优,0.4,州环境监测站,8,84,61,20,3,21,楚雄州,_
