AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
55,良,0.5,蚌埠学院,27,105,84,59,21,10,蚌埠,颗粒物(PM10)
63,良,0.5,淮上区政府,24,85,70,76,30,20,蚌埠,颗粒物(PM10)
53,良,0.5,高新区,27,92,78,55,23,10,蚌埠,颗粒物(PM10)
49,优,0.2,官园,6,72,71,49,7,2,北京,_
41,优,0.4,海淀区万柳,2,81,79,41,5,3,北京,_
51,良,_,顺义新城,_,68,60,52,4,5,北京,颗粒物(PM10)
40,优,0.8,大峪,26,67,55,40,17,44,本溪,_
29,优,0.7,彩屯,16,69,64,29,19,20,本溪,_
35,优,0.8,东明,23,57,44,35,22,31,本溪,_
39,优,0.4,威宁,13,65,55,39,13,23,本溪,_
46,优,0.8,新立屯,36,40,42,46,20,42,本溪,_
37,优,0.2,怀柔镇,2,64,60,37,4,2,北京,_
77,良,1.3,八中,32,62,59,85,56,22,毕节,细颗粒物(PM2.5)
59,良,42,师专,67,1.0,32,"
                  ","
                      细颗粒物(PM2.5)
                      ",60,毕节,"
                      颗粒物(PM10)
                      "
24,优,0.3,昌平镇,6,65,63,24,6,2,北京,_
39,优,0.2,奥体中心,4,64,63,39,4,2,北京,_
58,良,0.3,古城,8,71,70,66,7,2,北京,颗粒物(PM10)
78,良,0.9,市环保局,20,61,45,106,20,10,滨州,颗粒物(PM10)
68,良,0.6,第二水厂,20,66,46,85,27,16,滨州,颗粒物(PM10)
95,良,9.5,北中新校,16,_,42,53,20,9,滨州,一氧化碳
54,良,0.3,污水处理厂,21,89,76,58,27,15,亳州,颗粒物(PM10)
84,良,1.5,博乐市西郊区,23,37,33,117,55,72,博州,颗粒物(PM10)
132,轻度污染,1.3,市环保局,28,34,16,158,100,49,博州,细颗粒物(PM2.5)
37,优,0.4,三国揽胜宫,21,89,79,37,20,15,亳州,_
98,良,0.5,沧县城建局,13,72,53,145,28,12,沧州,颗粒物(PM10)
110,轻度污染,0.2,电视转播站,8,73,56,170,26,23,沧州,颗粒物(PM10)
99,良,0.3,市环保局,9,79,60,147,29,19,沧州,颗粒物(PM10)
26,优,0.6,食品厂,32,45,47,_,18,9,长春,_
26,优,0.5,客车厂,19,53,57,22,18,15,长春,_
46,优,0.7,邮电学院,40,41,40,44,32,83,长春,_
22,优,0.6,劳动公园,25,54,50,19,15,21,长春,_
29,优,0.4,园林处,_,39,46,23,20,23,长春,_
22,优,0.2,净月潭,20,63,62,22,15,24,长春,_
43,优,1.0,市二中,14,94,56,_,30,4,常德,_
53,良,37,白鹤山,56,0.8,13,"
                  ","
                      细颗粒物(PM2.5)
                      ",84,常德,"
                      颗粒物(PM10)
                      "
32,优,1.0,武陵区永安(启用171130),23,85,49,32,22,8,常德,_
40,优,1.1,鼎城区玉霞(启用171130),15,91,49,36,28,6,常德,_
36,优,0.5,昌都监测站,8,94,76,34,25,6,昌都,_
24,优,1.4,昌都地区昌都坝,11,76,62,9,5,2,昌都,_
30,优,0.6,甩湾子,8,71,65,21,21,8,长春,_
43,优,0.4,经开区环卫处,43,42,45,_,30,71,长春,_
30,优,0.4,高新区管委会,17,61,61,30,18,5,长春,_
25,优,0.9,岱山公园,25,55,59,19,17,6,长春,_
36,优,0.8,武陵区长庚,8,91,54,34,25,10,常德,_
29,优,0.5,昌都监测站,5,91,61,12,_,4,昌都地区,_
26,优,0.9,昌都地区昌都坝,17,82,53,_,6,12,昌都地区,_
29,优,0.7,天山天池,4,92,92,_,9,6,昌吉州,_
328,严重污染,3.4,州监测站,42,20,19,335,278,20,昌吉州,细颗粒物(PM2.5)
218,重度污染,1.7,新区政务中心,39,36,23,223,168,38,昌吉州,细颗粒物(PM2.5)
72,良,0.9,经开区环保局,54,61,37,70,52,8,长沙,细颗粒物(PM2.5)
54,良,0.7,高开区环保局,33,74,48,44,38,8,长沙,细颗粒物(PM2.5)
79,良,0.7,马坡岭,48,63,36,58,58,8,长沙,细颗粒物(PM2.5)
48,优,0.4,清华站,10,95,90,48,20,22,长治,_
51,良,0.3,监测站,10,91,82,51,24,23,长治,颗粒物(PM10)
45,优,0.5,审计局,18,89,73,45,23,27,长治,_
51,良,0.8,长治八中,5,75,67,52,27,28,长治,颗粒物(PM10)
48,优,0.3,海虞子站,26,74,58,48,_,14,常熟,_
54,良,0.5,菱塘子站,19,83,65,58,18,23,常熟,颗粒物(PM10)
55,良,39,湖南师范大学,59,0.8,32,"
                  ","
                      细颗粒物(PM2.5)
                      ",76,长沙,"
                      颗粒物(PM10)
                      "
58,良,_,雨花区环保局,51,60,35,41,41,10,长沙,细颗粒物(PM2.5)
52,良,0.7,德盛苑,21,72,70,53,25,23,长治,颗粒物(PM10)
31,优,0.9,市监测站,16,95,73,31,21,11,常州,_
62,良,0.8,伍家岭,45,72,36,49,44,9,长沙,细颗粒物(PM2.5)
57,良,0.5,河畔小区,12,63,58,63,8,15,朝阳,颗粒物(PM10)
40,优,_,西园路,17,56,56,38,28,8,潮州,_
48,优,1.3,城建学校,34,8,8,48,30,13,常州,_
38,优,1.0,常工院,65,13,7,33,26,14,常州,_
56,良,1.2,潞城,62,10,7,62,32,19,常州,颗粒物(PM10)
47,优,0.6,武进监测站,13,77,63,47,14,14,常州,_
46,优,0.5,安家,18,78,67,46,20,14,常州,_
32,优,0.8,行政中心,28,85,70,32,16,12,常州,_
55,良,1.0,经开区,28,96,78,60,19,15,常州,颗粒物(PM10)
52,良,0.7,火车新站,42,74,34,41,36,6,长沙,细颗粒物(PM2.5)
57,良,0.5,天心区环保局,48,80,53,45,40,8,长沙,细颗粒物(PM2.5)
66,良,0.5,八里堡,14,51,53,81,10,44,朝阳,颗粒物(PM10)
55,良,0.5,农业园区,1,70,58,59,6,15,朝阳,颗粒物(PM10)
43,优,0.9,档案局,14,67,65,43,29,10,潮州,_
48,优,0.8,市政府,16,66,62,48,27,11,潮州,_
34,优,0.8,钟楼,28,72,58,34,18,12,常州,_
55,良,0.7,湖南中医药大学,39,71,50,60,35,9,长沙,颗粒物(PM10)
62,良,0.8,沙坪,22,74,44,45,44,12,长沙,细颗粒物(PM2.5)
73,良,0.2,铁路,11,74,52,95,15,10,承德,颗粒物(PM10)
42,优,0.5,中国银行,9,66,49,42,6,7,承德,_
44,优,0.3,开发区,1,75,54,44,14,6,承德,_
74,良,0.5,金泉两河,36,91,42,73,54,10,成都,细颗粒物(PM2.5)
65,良,0.4,十里店,27,116,56,80,36,9,成都,颗粒物(PM10)
52,良,0.4,文化中心,4,75,59,54,11,5,承德,颗粒物(PM10)
41,优,0.6,离宫,4,74,61,41,12,9,承德,_
59,良,0.4,三瓦窑,35,101,49,68,40,4,成都,颗粒物(PM10)
65,良,0.6,沙河铺,33,88,43,77,47,13,成都,细颗粒物(PM2.5)
70,良,0.8,梁家巷,37,80,111,89,50,_,成都,颗粒物(PM10)
68,良,0.6,马头岭,10,98,72,69,49,8,郴州,细颗粒物(PM2.5)
85,良,0.6,市职中,10,81,53,83,63,5,郴州,细颗粒物(PM2.5)
70,良,1.4,兴隆步行街,28,_,57,90,48,19,郴州,颗粒物(PM10)
60,良,1.0,灵岩寺,23,116,88,70,36,11,成都,颗粒物(PM10)
68,良,0.4,市审计局,28,78,57,73,49,27,郴州,细颗粒物(PM2.5)
108,轻度污染,1.5,市环保局,21,84,41,95,81,22,郴州,细颗粒物(PM2.5)
87,良,0.6,松山一中,6,51,43,123,5,6,赤峰,颗粒物(PM10)
57,良,0.7,君平街,40,96,55,63,29,9,成都,颗粒物(PM10)
56,良,0.5,大石西路,36,89,44,62,35,9,成都,颗粒物(PM10)
56,良,0.1,哈达街,12,58,52,62,7,9,赤峰,颗粒物(PM10)
49,优,0.5,天义路,9,61,52,49,5,7,赤峰,_
53,良,0.3,银河街,3,54,47,55,11,7,赤峰,颗粒物(PM10)
40,优,0.6,池州学院,8,97,76,40,17,17,池州,_
47,优,0.5,平天湖,11,126,111,47,26,7,池州,_
41,优,0.5,老干部局,27,80,75,41,19,13,池州,_
49,优,0.5,龙泉驿区区政府,20,75,52,49,31,5,成都,_
59,良,0.7,缙云山,42,66,74,67,37,5,重庆,颗粒物(PM10)
54,良,0.7,天生,47,58,27,53,38,7,重庆,细颗粒物(PM2.5)
58,良,0.6,两路,38,75,36,54,41,10,重庆,细颗粒物(PM2.5)
36,优,0.9,市环保局江州分局,10,79,58,36,22,9,崇左,_
45,优,1.0,城南新区,13,71,52,45,24,7,崇左,_
56,良,0.6,虎溪,68,48,32,61,34,10,重庆,颗粒物(PM10)
49,优,0.6,南坪,11,95,43,49,32,6,重庆,_
25,优,0.4,州环境监测站,6,80,50,21,3,19,楚雄州,_
26,优,0.5,市经济开发区,7,83,46,26,5,10,楚雄州,_
51,良,0.7,唐家沱,28,87,40,52,16,14,重庆,颗粒物(PM10)
53,良,0.5,茶园,27,60,27,55,30,11,重庆,颗粒物(PM10)
58,良,0.5,白市驿,47,59,36,65,34,10,重庆,颗粒物(PM10)
46,优,0.6,空港,25,97,44,46,18,12,重庆,_
44,优,0.3,老年大学,4,88,83,44,21,12,滁州,_
60,良,0.3,人大宾馆,18,105,87,69,20,5,滁州,颗粒物(PM10)
49,优,0.6,新山村,40,73,31,49,22,8,重庆,_
51,良,0.5,礼嘉,30,86,32,52,29,8,重庆,颗粒物(PM10)
65,良,0.9,蔡家,58,52,23,80,31,7,重庆,颗粒物(PM10)
26,优,0.5,甘井子,11,72,62,26,11,8,大连,_
20,优,0.5,周水子,17,62,56,20,9,9,大连,_
59,良,0.8,鱼新街,34,75,41,67,29,13,重庆,颗粒物(PM10)
51,良,0.8,歇台子,39,53,22,51,29,8,重庆,颗粒物(PM10)
25,优,0.8,星海三站,16,67,62,25,8,12,大连,_
28,优,0.8,青泥洼桥,23,59,52,28,7,11,大连,_
34,优,0.9,傅家庄,19,57,56,34,9,6,大连,_
35,优,0.3,七贤岭,25,68,66,35,10,9,大连,_
31,优,0.5,大理市环境监测站,10,97,83,10,3,2,大理州,_
21,优,1.0,大理古城,6,67,55,15,3,4,大理州,_
58,良,0.4,龙井湾,46,73,48,66,27,10,重庆,颗粒物(PM10)
49,优,0.5,上清寺,33,74,36,49,19,5,重庆,_
25,优,0.8,旅顺,13,56,49,25,9,7,大连,_
30,优,0.5,金州,16,70,64,30,10,10,大连,_
21,优,0.6,开发区,15,66,55,20,7,7,大连,_
25,优,0.7,双D港,6,79,72,21,12,15,大连,_
37,优,0.8,江湾东路,15,79,69,37,20,22,丹东,_
32,优,0.6,临江后街,11,65,62,32,15,17,丹东,_
26,优,0.8,元宝山,26,47,50,25,18,32,丹东,_
28,优,1.0,大同区,6,66,62,19,19,10,大庆,_
43,优,1.1,民主桥,27,59,55,43,23,34,丹东,_
27,优,0.6,龙凤区,15,47,42,27,17,11,大庆,_
22,优,0.4,红岗区,20,53,52,21,15,9,大庆,_
20,优,0.4,萨尔图区,29,54,56,20,13,36,大庆,_
28,优,0.5,让胡路区,11,54,51,28,15,7,大庆,_
19,优,1.0,环保局,13,59,48,17,8,18,大兴安岭地区,_
21,优,0.7,公安局,8,58,58,21,8,14,大兴安岭地区,_
46,优,0.7,果树场,8,84,77,46,12,15,大同,_
20,优,0.7,云冈宾馆,6,61,55,15,5,12,大同,_
40,优,0.8,大同大学,6,71,62,40,2,9,大同,_
26,优,0.4,安家小村,4,83,77,15,1,1,大同,_
45,优,0.8,教育学院,17,47,45,45,2,11,大同,_
44,优,_,德宏州监测站,17,82,36,44,18,21,德宏州,_
49,优,0.7,芒市建设局,24,70,37,49,25,23,德宏州,_
72,良,0.8,市环境监测站,28,40,30,75,52,17,达州,细颗粒物(PM2.5)
74,良,1.2,凤凰小区,32,104,64,80,54,21,达州,细颗粒物(PM2.5)
82,良,0.9,达县机关宾馆,16,103,65,73,60,11,达州,细颗粒物(PM2.5)
93,良,2.0,市政中心,16,21,22,109,69,29,达州,细颗粒物(PM2.5)
72,良,0.6,东山公园,32,100,58,93,50,6,德阳,颗粒物(PM10)
67,良,0.5,西小区,35,90,38,84,32,12,德阳,颗粒物(PM10)
131,轻度污染,0.9,儿童乐园,13,74,52,212,18,7,德州,颗粒物(PM10)
90,良,1.1,监理站,11,74,48,129,9,7,德州,颗粒物(PM10)
73,良,0.6,市检察院,41,93,44,96,47,7,德阳,颗粒物(PM10)
104,轻度污染,0.6,耐火材料厂,46,88,40,98,78,8,德阳,细颗粒物(PM2.5)
99,良,0.6,九衢泉纯净水厂,12,84,58,148,9,13,德州,颗粒物(PM10)
58,良,0.7,监测站（原粮食局）,14,98,58,60,41,17,定西,细颗粒物(PM2.5)
62,良,1.1,南峰招待所（原起重机厂）,24,59,28,51,44,32,定西,细颗粒物(PM2.5)
29,优,0.3,古城,4,92,76,12,_,18,迪庆州,_
30,优,0.5,迪庆州站,7,95,77,17,5,6,迪庆州,_
92,良,0.6,西城阳光环保公司,17,63,46,133,22,30,东营,颗粒物(PM10)
94,良,0.7,市环保局,22,64,49,138,22,20,东营,颗粒物(PM10)
95,良,0.6,耿井村,19,65,49,140,14,26,东营,颗粒物(PM10)
64,良,1.2,南城元岭,_,59,57,62,46,12,东莞,细颗粒物(PM2.5)
58,良,41,东城石井,65,0.8,28,"
                  ","
                      细颗粒物(PM2.5)
                      ",54,东莞,"
                      颗粒物(PM10)
                      "
63,良,1.2,南城西平,45,40,41,49,45,9,东莞,细颗粒物(PM2.5)
87,良,0.8,开发区管委会,22,60,47,124,24,24,东营,颗粒物(PM10)
65,良,1.1,东城主山,21,59,54,47,47,8,东莞,细颗粒物(PM2.5)
78,良,1.0,莞城梨川,34,56,56,_,57,10,东莞,细颗粒物(PM2.5)
36,优,0.3,综合楼,14,87,84,36,3,6,鄂尔多斯,_
59,良,1.0,湖北民院,20,41,18,56,42,8,恩施州,细颗粒物(PM2.5)
36,优,0.7,巴音孟克林场办事处,6,87,84,36,7,7,鄂尔多斯,_
38,优,0.5,康泽苑,9,69,73,38,6,7,鄂尔多斯,_
31,优,0.6,华泰汽车城,8,99,94,25,10,7,鄂尔多斯,_
56,良,1.1,州电力总公司,11,82,42,61,2,7,恩施州,颗粒物(PM10)
28,优,0.5,奥林花园,8,83,81,28,2,5,鄂尔多斯,_
55,良,1.0,市政府,35,74,43,59,37,10,鄂州,颗粒物(PM10)
82,良,0.7,赵家坝,19,100,65,_,60,9,鄂州,细颗粒物(PM2.5)
50,优,1.3,沙万,20,66,66,50,35,9,防城港,_
55,良,0.7,防城镇政府,24,70,68,60,34,10,防城港,颗粒物(PM10)
55,良,1.0,大海花园,19,70,69,59,34,8,防城港,颗粒物(PM10)
60,良,0.9,凡口开发区,15,86,57,69,34,5,鄂州,颗粒物(PM10)
84,良,0.8,湾梁,24,42,44,117,52,8,佛山,颗粒物(PM10)
70,良,0.8,华材职中,22,43,40,71,51,16,佛山,细颗粒物(PM2.5)
65,良,0.9,南海气象局,33,_,42,66,47,_,佛山,细颗粒物(PM2.5)
54,良,0.9,顺德苏岗,32,47,43,57,_,8,佛山,颗粒物(PM10)
65,良,0.8,沈抚新城,49,49,49,52,47,30,抚顺,细颗粒物(PM2.5)
90,良,0.9,望花区,45,49,44,_,67,48,抚顺,细颗粒物(PM2.5)
78,良,1.1,容桂街道办,51,37,36,74,57,18,佛山,细颗粒物(PM2.5)
72,良,0.9,高明孔堂,28,43,36,60,52,15,佛山,细颗粒物(PM2.5)
25,优,0.6,顺城区,28,62,50,25,17,18,抚顺,_
35,优,0.5,东洲区,27,57,44,35,22,19,抚顺,_
57,良,0.6,新抚区,44,47,43,_,40,29,抚顺,细颗粒物(PM2.5)
26,优,0.3,大伙房水库,14,73,57,26,14,13,抚顺,_
123,轻度污染,0.3,工业园区,7,74,61,196,9,11,阜新,颗粒物(PM10)
91,良,0.3,农业园区,2,67,61,131,9,7,阜新,颗粒物(PM10)
63,良,1.2,三水监测站,29,54,44,55,45,10,佛山,细颗粒物(PM2.5)
65,良,0.9,三水云东海,16,61,50,55,47,8,佛山,细颗粒物(PM2.5)
94,良,0.2,长青街,9,69,56,138,22,10,阜新,颗粒物(PM10)
148,轻度污染,0.4,东苑,4,74,61,245,11,7,阜新,颗粒物(PM10)
118,轻度污染,0.3,玉龙新城,8,76,60,185,9,4,阜新,颗粒物(PM10)
47,优,0.6,市监测站,17,104,80,47,29,4,阜阳,_
52,良,0.4,开发区,20,106,77,53,29,24,阜阳,颗粒物(PM10)
35,优,0.4,富春二小,8,111,98,27,12,10,富阳,_
48,优,0.5,阜阳职业技术学院,10,123,98,48,25,6,阜阳,_
50,优,0.7,鼓山,19,67,45,50,29,7,福州,_
38,优,0.6,师大,18,74,68,38,25,5,福州,_
45,优,0.7,五四北路,23,64,55,45,30,6,福州,_
42,优,0.8,杨桥西路,14,75,65,42,23,9,福州,_
44,优,0.6,紫阳,19,66,51,44,30,11,福州,_
52,良,0.2,市站,16,96,62,54,32,19,抚州,颗粒物(PM10)
49,优,_,血防站,21,91,60,46,34,_,抚州,_
50,优,0.8,采茶剧团,12,87,56,50,12,20,抚州,_
33,优,0.7,九龙,12,82,76,32,23,7,福州,_
48,优,0.5,医学分院,7,101,62,47,33,33,抚州,_
63,良,1.3,通天岩,9,111,89,53,45,4,赣州,细颗粒物(PM2.5)
32,优,0.9,监测站,15,101,64,14,8,2,甘南州,_
73,良,1.8,地委,12,96,75,58,53,14,赣州,细颗粒物(PM2.5)
74,良,1.7,气象台,11,99,79,65,54,14,赣州,细颗粒物(PM2.5)
69,良,1.4,市图书馆,15,96,78,60,50,12,赣州,细颗粒物(PM2.5)
60,良,43,华坚鞋城,69,1.6,20,"
                  ","
                      细颗粒物(PM2.5)
                      ",92,赣州,"
                      颗粒物(PM10)
                      "
56,良,0.7,水桥子,9,55,41,62,33,29,甘孜州,颗粒物(PM10)
48,优,0.6,州环保局,2,109,88,48,33,6,甘孜州,_
65,良,0.5,小平旧居,14,119,68,79,29,17,广安,颗粒物(PM10)
78,良,0.6,市委,21,109,53,106,51,14,广安,颗粒物(PM10)
68,良,0.7,友谊中学,19,103,46,86,46,13,广安,颗粒物(PM10)
70,良,0.5,广电花园,21,102,46,89,27,12,广安,颗粒物(PM10)
51,良,0.7,黑石坡,23,82,51,52,9,12,广元,颗粒物(PM10)
68,良,0.8,老城,39,69,34,86,21,25,广元,颗粒物(PM10)
55,良,0.7,南坝,30,74,38,59,11,18,广元,颗粒物(PM10)
68,良,0.6,北辰小学,18,99,47,86,44,12,广安,颗粒物(PM10)
59,良,1.0,监测站,41,64,28,68,20,13,广元,颗粒物(PM10)
73,良,1.3,广雅中学,60,26,30,70,53,13,广州,细颗粒物(PM2.5)
73,良,1.2,市五中,52,33,44,57,53,13,广州,细颗粒物(PM2.5)
58,良,0.9,广东商学院,33,54,46,56,41,9,广州,细颗粒物(PM2.5)
63,良,0.9,市八十六中,34,50,49,65,45,8,广州,细颗粒物(PM2.5)
73,良,1.0,番禺中学,45,48,47,_,53,12,广州,细颗粒物(PM2.5)
57,良,0.8,花都师范,27,53,55,57,40,8,广州,细颗粒物(PM2.5)
69,良,1.4,市监测站,54,29,32,52,50,13,广州,细颗粒物(PM2.5)
67,良,1.1,九龙镇镇龙,12,66,62,_,48,11,广州,细颗粒物(PM2.5)
63,良,1.2,麓湖,44,34,47,56,45,12,广州,细颗粒物(PM2.5)
59,良,1.4,帽峰山森林公园,12,69,63,50,42,14,广州,细颗粒物(PM2.5)
63,良,1.2,体育西,46,37,36,58,45,14,广州,细颗粒物(PM2.5)
45,优,0.6,德智高中,4,102,86,45,30,9,贵港,_
53,良,0.6,江南子站　,9,98,74,55,33,12,贵港,颗粒物(PM10)
76,良,_,贵城子站,12,_,67,101,37,13,贵港,颗粒物(PM10)
53,良,0.6,荷城子站,20,72,60,53,37,_,贵港,细颗粒物(PM2.5)
40,优,0.6,电子科大尧山校区,5,106,97,_,28,9,桂林,_
37,优,0.5,监测站,17,88,86,37,25,6,桂林,_
39,优,0.6,龙隐路小学,10,105,96,33,27,13,桂林,_
36,优,0.6,八中,17,_,87,32,25,11,桂林,_
40,优,1.0,玛沁县大武镇,13,125,86,18,12,20,果洛州,_
106,轻度污染,0.4,马园,7,94,84,161,16,11,固原,颗粒物(PM10)
99,良,0.2,监测站,7,97,88,148,11,5,固原,颗粒物(PM10)
88,良,0.4,新区,9,95,85,126,12,4,固原,颗粒物(PM10)
24,优,0.5,岭北,14,74,80,17,12,16,哈尔滨,_
33,优,0.4,松北商大,26,103,114,20,12,1,哈尔滨,_
36,优,1.3,阿城会宁,31,59,65,31,25,22,哈尔滨,_
37,优,0.9,太平宏伟公园,40,30,42,37,21,48,哈尔滨,_
24,优,0.4,道外承德广场,25,51,56,24,11,14,哈尔滨,_
34,优,0.3,香坊红旗大街,28,41,42,34,16,41,哈尔滨,_
42,优,0.6,动力和平路,29,46,48,42,15,37,哈尔滨,_
27,优,0.6,道里建国路,33,39,46,27,14,13,哈尔滨,_
50,优,0.4,州环保局,9,47,41,50,19,5,甘孜藏族自治州,_
24,优,0.5,平房东轻厂,31,71,78,24,16,18,哈尔滨,_
67,良,0.4,呼兰师专,15,62,69,_,48,27,哈尔滨,细颗粒物(PM2.5)
28,优,0.8,东寨港,9,49,52,28,15,4,海口,_
20,优,0.9,海南大学,16,64,57,8,6,3,海口,_
39,优,0.6,秀英海南医院,16,39,26,34,27,4,海口,_
34,优,_,海晏县西海镇,12,108,93,20,5,15,海北州,_
27,优,0.6,省农科院,32,58,61,27,15,23,哈尔滨,_
